ID,Req. Timestamp,Resp. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body
100,Sat Jun 28 15:07:48 IST 2025,Sat Jun 28 15:07:50 IST 2025,GET,https://www.dvwa.co.uk/5038215845612887759,404,Not Found,1627,902,18671
102,Sat Jun 28 15:07:50 IST 2025,Sat Jun 28 15:07:51 IST 2025,GET,https://www.dvwa.co.uk/files/9095490026033725900,404,Not Found,1531,1045,18671
104,Sat Jun 28 15:07:51 IST 2025,Sat Jun 28 15:07:52 IST 2025,GET,https://www.dvwa.co.uk/files/css/2594059548550229885,404,Not Found,706,1037,18671
106,Sat Jun 28 15:07:52 IST 2025,Sat Jun 28 15:07:52 IST 2025,GET,https://www.dvwa.co.uk/files/font-awesome/5558480922175386794,404,Not Found,646,1037,18671
108,Sat Jun 28 15:07:52 IST 2025,Sat Jun 28 15:07:54 IST 2025,GET,https://www.dvwa.co.uk/files/font-awesome/css/1968847614397171254,404,Not Found,1352,1045,18671
110,Sat Jun 28 15:07:54 IST 2025,Sat Jun 28 15:07:55 IST 2025,GET,https://www.dvwa.co.uk/files/font-awesome/fonts/3906611412834057327,404,Not Found,1395,1039,18671
112,Sat Jun 28 15:07:55 IST 2025,Sat Jun 28 15:07:56 IST 2025,GET,https://www.dvwa.co.uk/files/js/5529077736309701943,404,Not Found,602,1041,18671
114,Sat Jun 28 15:07:56 IST 2025,Sat Jun 28 15:07:57 IST 2025,GET,https://www.dvwa.co.uk/files/nivo-slider/5855938195448463318,404,Not Found,616,1041,18671
116,Sat Jun 28 15:07:57 IST 2025,Sat Jun 28 15:07:57 IST 2025,GET,https://www.dvwa.co.uk/files/nivo-slider/themes/943683883535764902,404,Not Found,613,1045,18671
118,Sat Jun 28 15:07:57 IST 2025,Sat Jun 28 15:07:58 IST 2025,GET,https://www.dvwa.co.uk/files/nivo-slider/themes/default/7447305923228629179,404,Not Found,612,1037,18671
120,Sat Jun 28 15:07:58 IST 2025,Sat Jun 28 15:07:58 IST 2025,GET,https://www.dvwa.co.uk/wp-content/1601321630077837870,404,Not Found,680,1043,18671
122,Sat Jun 28 15:07:58 IST 2025,Sat Jun 28 15:07:59 IST 2025,GET,https://www.dvwa.co.uk/wp-content/plugins/3508344202738517754,404,Not Found,700,1041,18671
124,Sat Jun 28 15:07:59 IST 2025,Sat Jun 28 15:08:00 IST 2025,GET,https://www.dvwa.co.uk/wp-content/plugins/brand-management-plugin/2193912734363244518,404,Not Found,642,1043,18671
126,Sat Jun 28 15:08:00 IST 2025,Sat Jun 28 15:08:00 IST 2025,GET,https://www.dvwa.co.uk/wp-content/plugins/brand-management-plugin/public/622345549049724762,404,Not Found,630,1041,18671
128,Sat Jun 28 15:08:00 IST 2025,Sat Jun 28 15:08:01 IST 2025,GET,https://www.dvwa.co.uk/wp-content/plugins/brand-management-plugin/public/css/5280619176015128723,404,Not Found,620,1045,18671
130,Sat Jun 28 15:08:01 IST 2025,Sat Jun 28 15:08:02 IST 2025,GET,https://www.dvwa.co.uk/wp-content/themes/4427120537204269036,404,Not Found,927,1039,18671
132,Sat Jun 28 15:08:02 IST 2025,Sat Jun 28 15:08:03 IST 2025,GET,https://www.dvwa.co.uk/wp-content/themes/fa0jn434hfseid03pftr1315517/382688018911761003,404,Not Found,585,1041,18671
134,Sat Jun 28 15:08:03 IST 2025,Sat Jun 28 15:08:03 IST 2025,GET,https://www.dvwa.co.uk/wp-content/uploads/8144460274916982125,404,Not Found,612,1035,18671
136,Sat Jun 28 15:08:03 IST 2025,Sat Jun 28 15:08:04 IST 2025,GET,https://www.dvwa.co.uk/wp-content/uploads/2025/1125708198589903439,404,Not Found,536,1037,18671
138,Sat Jun 28 15:08:04 IST 2025,Sat Jun 28 15:08:04 IST 2025,GET,https://www.dvwa.co.uk/wp-content/uploads/2025/06/8987541217271766623,404,Not Found,590,1037,18671
140,Sat Jun 28 15:08:04 IST 2025,Sat Jun 28 15:08:05 IST 2025,GET,https://www.dvwa.co.uk/wp-includes/132960793423132391,404,Not Found,636,1043,18671
142,Sat Jun 28 15:08:05 IST 2025,Sat Jun 28 15:08:06 IST 2025,GET,https://www.dvwa.co.uk/wp-includes/css/4855312655399144751,404,Not Found,603,1043,18671
144,Sat Jun 28 15:08:06 IST 2025,Sat Jun 28 15:08:06 IST 2025,GET,https://www.dvwa.co.uk/wp-includes/css/dist/4717316812766004358,404,Not Found,609,1039,18671
146,Sat Jun 28 15:08:06 IST 2025,Sat Jun 28 15:08:07 IST 2025,GET,https://www.dvwa.co.uk/wp-includes/css/dist/block-library/1647972265293519479,404,Not Found,595,1041,18671
148,Sat Jun 28 15:08:07 IST 2025,Sat Jun 28 15:08:08 IST 2025,GET,https://www.dvwa.co.uk/wp-includes/js/2035022410152642966,404,Not Found,630,1039,18671
150,Sat Jun 28 15:08:08 IST 2025,Sat Jun 28 15:08:08 IST 2025,GET,https://www.dvwa.co.uk/WEB-INF/web.xml,403,Forbidden,453,636,75193
151,Sat Jun 28 15:08:08 IST 2025,Sat Jun 28 15:08:09 IST 2025,GET,https://www.dvwa.co.uk/WEB-INF/applicationContext.xml,404,Not Found,655,900,18671
152,Sat Jun 28 15:08:09 IST 2025,Sat Jun 28 15:08:10 IST 2025,GET,https://www.dvwa.co.uk/WEB-INF/classes/1/0.class,404,Not Found,674,900,18671
153,Sat Jun 28 15:08:10 IST 2025,Sat Jun 28 15:08:10 IST 2025,GET,https://www.dvwa.co.uk/WEB-INF/classes/fonts/googleapis/com.class,404,Not Found,661,898,18671
154,Sat Jun 28 15:08:10 IST 2025,Sat Jun 28 15:08:11 IST 2025,GET,https://www.dvwa.co.uk/WEB-INF/classes/wrap/cloud.class,404,Not Found,596,902,18671
155,Sat Jun 28 15:08:11 IST 2025,Sat Jun 28 15:08:11 IST 2025,GET,https://www.dvwa.co.uk/WEB-INF/classes/wrap/white.class,404,Not Found,608,892,18671
